age	temp
0.234	-2.28486319757887
0.236	-2.57299772405377
0.238	-2.16117618133599
0.24	-1.84211990080037
0.242	-2.1372820986527
0.244	-1.2194682167595
0.246	-2.14149870147917
0.248	-2.68544046609275
0.25	-2.48866566752453
0.252	-3.04385170634202
0.254	-3.06493472047432
0.256	-2.96233071836375
0.258	-2.93140896430303
0.26	-2.75150057704066
0.262	-2.75993378269358
0.264	-2.83723816784538
0.266	-2.81896622226405
0.268	-2.89627060741585
0.27	-2.99465800669996
0.272	-2.99465800669996
0.274	-2.84286030494733
0.276	-2.91032595017072
0.278	-2.81193855088661
0.28	-2.66435745196044
0.282	-2.51677635303428
0.284	-2.36919525410811
0.286	-2.24691377214071
0.288	-2.12322675589783
0.29	-2.23566949793682
0.292	-1.6172344167224
0.294	-2.40433361099529
0.296	-2.64327443782813
0.298	-2.81193855088661
0.3	-2.40433361099529
0.302	-2.72760649435737
0.304	-2.54488703854402
0.306	-2.34108456859836
0.308	-2.27502445765046
0.31	-2.20755881242707
0.312	-1.9826733283491
0.314	-2.65732978058301
0.316	-2.12322675589783
0.318	-1.58912373121266
0.32	-1.80698154391319
0.322	-1.62426208809984
0.324	-1.87023058631012
0.326	-1.06907604928235
0.328	-1.11124207754697
0.33	-1.13935276305672
0.332	-0.942577964488496
0.334	-0.633360423881289
0.336	-0.932739224560085
0.338	-1.95456264283935
0.34	-2.30313514316021
0.342	-2.65311317775654
0.344	-3.0016856780774
0.346	-3.38820760383641
0.348	-2.29189086895631
0.35	-3.12115609149382
0.352	-2.76977252262199
0.354	-2.92438129292559
0.356	-2.79788320813174
0.358	-2.98060266394509
0.36	-2.95951964981278
0.362	-2.93843663568047
0.364	-2.96654732119021
0.366	-2.99465800669996
0.368	-2.86113225052867
0.37	-2.64327443782813
0.372	-2.69949580884763
0.374	-2.74166183711225
0.376	-2.68544046609275
0.378	-2.46477158484125
0.38	-2.36216758273067
0.382	-2.65732978058301
0.384	-2.32984029439447
0.386	-2.54488703854402
0.388	-2.29189086895631
0.39	-2.1049548103165
0.392	-2.15133744140758
0.394	-2.11619908452039
0.396	-1.81400921529062
0.398	-2.05295004212347
0.4	-1.88850253189145
0.402	-1.33612756162494
0.404	-0.921494950356186
0.406	-1.55398537432547
0.408	-1.13935276305672
0.41	-0.861056976510233
0.412	-1.24757890226924
0.414	-1.43029835808259
0.416	-2.30594621171118
0.418	-2.42963322795406
0.42	-2.40433361099529
0.422	-2.37903399403652
0.424	-3.61168755363889
0.426	-3.47956733174308
0.428	-2.84426583922282
0.43	-2.84286030494733
0.432	-3.1338058999732
0.434	-3.04666277489299
0.436	-3.12115609149382
0.438	-2.98481926677155
0.44	-2.97216945829216
0.442	-2.95951964981278
0.444	-2.61516375231839
0.446	-2.60813608094095
0.448	-2.60110840956351
0.45	-2.69949580884763
0.452	-2.79788320813174
0.454	-2.89627060741585
0.456	-3.05087937771945
0.458	-2.75993378269358
0.46	-2.47039372194319
0.462	-2.17944812691732
0.464	-2.82599389364148
0.466	-2.74868950848968
0.468	-2.56175344984987
0.47	-2.37622292548555
0.472	-2.41838895375017
0.474	-2.20755881242707
0.476	-2.13025442727527
0.478	-2.05154450784798
0.48	-1.97424012269618
0.482	-1.89693573754438
0.484	-1.81822581811709
0.486	-1.9826733283491
0.488	-1.44154263228649
0.49	-1.54695770294804
0.492	-1.65237277360958
0.494	-1.68048345911933
0.496	-1.71562181600651
0.498	-2.5589423812989
0.5	-2.1710149212644
0.502	-2.05295004212347
0.504	-2.08106072763321
0.506	-2.39027826824042
0.508	-2.11338801596942
0.51	-2.10214374176552
0.512	-2.1372820986527
0.514	-2.09511607038809
0.516	-2.08106072763321
0.518	-1.9714290541452
0.52	-2.09511607038809
0.522	-2.01078401385885
0.524	-2.25394144351815
0.526	-2.16258171561148
0.528	-2.42120002230114
0.53	-2.58564753253315
0.532	-2.8020998109582
0.534	-3.03963510351555
0.536	-2.92157022437462
0.538	-2.95530304698632
0.54	-2.89627060741585
0.542	-2.84988797632477
0.544	-2.68965706891922
0.546	-2.64327443782813
0.548	-2.40433361099529
0.55	-2.39449487106688
0.552	-2.54488703854402
0.554	-2.01078401385885
0.556	-2.1372820986527
0.558	-2.36216758273067
0.56	-1.3080168761152
0.562	-2.36919525410811
0.564	-1.9053689431973
0.566	-2.39027826824042
0.568	-1.93066856015607
0.57	-1.3080168761152
0.572	-1.54976877149901
0.574	-1.43451496090905
0.576	-1.34315523300238
0.578	-1.30380027328873
0.58	-1.08313139203723
0.582	-1.78027639267893
0.584	-2.39027826824042
0.586	-2.42963322795406
0.588	-2.49569333890197
0.59	-2.52099295586074
0.592	-2.99465800669996
0.594	-2.40433361099529
0.596	-2.20755881242707
0.598	-2.09933267321455
0.6	-2.22020862090646
0.602	-2.17382598981537
0.604	-2.01078401385885
0.606	-2.14009316720368
0.608	-1.92645195732961
0.61	-1.7507601728937
0.612	-1.89131360044243
0.614	-1.68188899339482
0.616	-1.46122011214331
0.618	-1.45278690649039
0.62	-1.62004548527338
0.622	-1.98829546545105
0.624	-2.81896622226405
0.626	-2.14712083858112
0.628	-3.47253966036564
0.63	-3.66650339038289
0.632	-3.65244804762802
0.634	-3.69461407589264
0.636	-3.54703297696647
0.638	-3.53859977131355
0.64	-3.41631828934615
0.642	-3.34744710984727
0.644	-3.35306924694922
0.646	-3.25327631338962
0.648	-3.14645570845259
0.65	-3.11412842011638
0.652	-3.18581066816623
0.654	-3.01855208938324
0.656	-3.0677457890253
0.658	-2.98763033532252
0.66	-2.94124770423144
0.662	-2.95108644415985
0.664	-2.96654732119021
0.666	-2.78663893392784
0.668	-3.12115609149382
0.67	-2.94686984133339
0.672	-2.78242233110138
0.674	-2.92438129292559
0.676	-2.78804446820333
0.678	-2.26378018344656
0.68	-2.65732978058301
0.682	-2.5912696696351
0.684	-2.69949580884763
0.686	-2.43103876222955
0.688	-1.81400921529062
0.69	-1.98407886262459
0.692	-2.15836511278501
0.694	-1.84914757217781
0.696	-1.86039184638171
0.698	-1.80979261246416
0.7	-1.61442334817143
0.702	-1.61020674534497
0.704	-1.74092143296528
0.706	-1.51884701743829
0.708	-1.66783365063994
0.71	-1.95596817711484
0.712	-2.00375634248141
0.714	-2.04170576791957
0.716	-1.92645195732961
0.718	-2.5912696696351
0.72	-2.44931070781089
0.722	-2.64608550637911
0.724	-2.83302156501892
0.726	-2.80772194806015
0.728	-2.57440325832926
0.73	-2.39590040534237
0.732	-2.23426396366133
0.734	-2.23848056648779
0.736	-2.24410270358974
0.738	-2.29470193750728
0.74	-2.43103876222955
0.742	-2.36216758273067
0.744	-2.85410457915123
0.746	-2.79928874240722
0.748	-3.0789900632292
0.75	-2.72057882297994
0.752	-2.87518759328354
0.754	-2.62359695797131
0.756	-2.77680019399943
0.758	-2.69387367174568
0.76	-2.65732978058301
0.762	-2.49569333890197
0.764	-2.53785936716659
0.766	-2.50553207883038
0.768	-2.19912560677415
0.77	-2.20053114104963
0.772	-2.27642999192595
0.774	-2.00094527393044
0.776	-1.89271913471791
0.778	-1.84914757217781
0.78	-1.40921534395028
0.782	-1.59334033403912
0.784	-1.6945388018742
0.786	-1.42045961815418
0.788	-1.18011325704585
0.79	-1.68329452767031
0.792	-1.86741951775914
0.794	-2.39871147389334
0.796	-2.93140896430303
0.798	-3.34604157557179
0.8	-3.20548814802306
0.802	-2.97638606111862
0.804	-3.02276869220971
0.806	-2.92016469009913
0.808	-2.6250024922468
0.81	-2.37622292548555
0.812	-2.63765230072618
0.814	-2.33124582866995
0.816	-2.21880308663097
0.818	-1.95456264283935
0.82	-1.88147486051402
0.822	-1.86320291493268
0.824	-1.57085178563132
0.826	-2.02483935661372
0.828	-1.99953973965495
0.83	-2.18647579829476
0.832	-1.96159031421679
0.834	-1.8393088322494
0.836	-1.87585272341206
0.838	-1.91239661457474
0.84	-2.45352731063735
0.842	-1.85617524355524
0.844	-1.75497677572016
0.846	-1.53290236019316
0.848	-1.42045961815418
0.85	-1.59615140259009
0.852	-1.21665714820852
0.854	-1.53009129164219
0.856	-1.82103688666806
0.858	-1.662211513538
0.86	-1.56663518280486
0.862	-1.47246438634721
0.864	-1.38813232981797
0.866	-1.98548439690008
0.868	-3.03682403496458
0.87	-2.98060266394509
0.872	-3.22657116215537
0.874	-2.93843663568047
0.876	-3.18159406533977
0.878	-3.12115609149382
0.88	-2.79226107102979
0.882	-2.84145477067184
0.884	-2.89205400458939
0.886	-2.88643186748744
0.888	-2.88221526466098
0.89	-3.06493472047432
0.892	-2.84707690777379
0.894	-2.87940419611
0.896	-2.91032595017072
0.898	-2.58705306680864
0.9	-2.62921909507326
0.902	-2.53083169578915
0.904	-2.31297388308862
0.906	-1.95456264283935
0.908	-2.36216758273067
0.91	-2.26378018344656
0.912	-2.05716664494993
0.914	-2.04592237074603
0.916	-1.9826733283491
0.918	-2.02343382233823
0.92	-2.12322675589783
0.922	-2.19209793539671
0.924	-2.5027210102794
0.926	-2.41276681664822
0.928	-2.97076392401667
0.93	-2.70371241167409
0.932	-2.56456451840084
0.934	-2.29048533468082
0.936	-2.29891854033374
0.938	-1.96861798559423
