scientificName	ts	te	speciation	extinction	ancestral_speciation	cont_trait_anc_0	cont_trait_ts_0	cont_trait_te_0	cat_trait_0	cat_trait_anc_0
T44	23.32	21.63	0.4	0.05	0.4	1.884503503867684	2.003809658675751	2.117009882127339	0.0	0.0
T45	23.03	12.28	0.4	0.3	0.4	1.464042871596803	1.4890744598914736	2.1318819481860243	1.0	0.0
T46	23.0	12.57	0.4	0.3	0.4	1.3746018581382442	1.2791115160760047	1.44170985152504	0.0	0.0
T48	22.92	19.75	0.4	0.05	0.4	0.14995958628736109	-0.003741260231166027	-0.05788923292216119	1.0	1.0
T49	22.89	14.86	0.4	0.3	0.4	0.2664363192509208	0.5753237347698884	0.755411199477804	1.0	1.0
T50	22.89	14.29	0.4	0.3	0.4	0.9432198366381194	0.9147126513213489	0.21322416295748178	0.0	0.0
T51	22.85	10.18	0.4	0.3	0.4	1.4152140443215593	1.6461803203384435	1.9533055365601284	0.0	0.0
T52	22.65	17.29	0.4	0.05	0.4	0.3942912273583298	1.106668034714821	0.3835458075333468	1.0	1.0
T53	22.62	15.01	0.4	0.3	0.4	1.4731517277794017	1.153933191325388	1.849286081272548	0.0	0.0
T54	22.55	16.24	0.4	0.05	0.4	0.9184391513467953	1.0330069979188585	1.1304668418346002	0.0	0.0
T55	22.55	14.63	0.4	0.3	0.4	0.15372596660595625	-0.44716445638168456	-0.7191923210128117	0.0	0.0
T56	22.47	13.13	0.4	0.3	0.4	0.35933222991716623	-0.06166259027794718	0.6693823382143596	1.0	1.0
T57	22.31	12.88	0.4	0.3	0.4	-0.5292406152314407	-0.5185885886606563	-0.49602456490074043	1.0	1.0
T58	22.28	14.76	0.4	0.3	0.4	-0.22204511355442227	-0.5763445579248948	-0.026709260848490728	1.0	1.0
T59	22.27	12.61	0.4	0.3	0.4	0.3505806402147339	0.6863692858110122	0.19242344906543024	1.0	1.0
T60	22.27	14.84	0.4	0.3	0.4	2.000454343106678	1.8804255517367185	1.7253676813745955	1.0	1.0
T61	22.13	16.53	0.4	0.05	0.4	1.53892659178929	1.300940900323917	1.5411544926948768	1.0	0.0
T62	22.11	0.0	0.4	0.0	0.4	0.8329220603129367	1.2560133875967419	2.3243299576838985	0.0	0.0
T63	22.1	12.16	0.4	0.3	0.4	0.5221569212032162	0.48979409894096493	1.5965588578093244	0.0	0.0
T65	22.09	18.06	0.4	0.05	0.4	0.42303548382306305	-0.32823438625138984	-0.492654663454984	1.0	1.0
T66	21.98	16.35	0.4	0.05	0.4	-0.17423318713839656	-0.32166450400462016	0.22432220509736045	1.0	1.0
T67	21.96	17.63	0.4	0.05	0.4	0.9580952820197784	1.295511355486075	1.0247032385964172	1.0	1.0
T68	21.87	14.4	0.4	0.3	0.4	-0.31428673024209947	-1.1728095550681035	-1.15785096515345	0.0	1.0
T69	21.75	13.75	0.4	0.3	0.4	1.5112787521995101	1.7592818912057626	1.2158222674420962	1.0	1.0
T70	21.74	0.0	0.4	0.0	0.4	2.0829924429210385	2.258361320672117	2.3176044712884694	1.0	0.0
T71	21.67	0.62	0.4	0.01	0.4	1.0983824592920732	0.9650331877256356	1.1295520941188615	1.0	1.0
T72	21.65	12.12	0.4	0.3	0.4	-0.06487607205108027	0.10052271053954377	0.17764253841872954	1.0	1.0
T73	21.62	13.95	0.4	0.3	0.4	0.1325355759741503	-0.40913075990647896	-0.2361369433683632	1.0	1.0
T74	21.62	16.34	0.4	0.05	0.4	0.9403174538124489	0.25032541099099004	0.46341729995927816	1.0	1.0
T75	21.61	16.36	0.4	0.05	0.4	-0.1904510168330551	-0.8892392897251982	-1.2677628029906691	1.0	1.0
T76	21.57	11.77	0.4	0.3	0.4	-0.051725148594072436	0.5234879655055925	0.049264432387031445	1.0	1.0
T77	21.56	14.57	0.4	0.3	0.4	1.54298365457726	1.4209745064288335	1.1133936773134934	1.0	0.0
T78	21.54	12.83	0.4	0.3	0.4	0.47541841052719047	0.7236757082661154	0.6566026832824091	1.0	1.0
T79	21.53	14.94	0.4	0.3	0.4	-0.5698214995275654	-0.665675849139523	-0.5546985585466859	1.0	1.0
T80	21.48	14.65	0.4	0.3	0.4	-0.3987450676203057	-0.5564219575509198	-0.9844163845993512	1.0	1.0
T81	21.47	20.72	0.4	0.05	0.4	1.5612289025913537	1.8612356179506109	2.036354365838239	0.0	0.0
T82	21.44	15.78	0.4	0.05	0.4	1.2168069723182093	0.828689862412294	1.2399758073479927	0.0	0.0
T83	21.41	11.88	0.4	0.3	0.4	0.7314037449166387	1.3746228226629742	1.2245549084709897	1.0	1.0
T84	21.38	12.96	0.4	0.3	0.4	1.5928152035246064	1.7328838197016754	1.5419126414200766	1.0	1.0
T85	21.34	18.23	0.4	0.05	0.4	0.5288768509737636	1.7327540047577974	1.6347404734429207	0.0	0.0
T86	21.29	19.02	0.4	0.05	0.4	0.1532245836281715	-0.5464191108290607	-0.5524207772063454	1.0	1.0
T87	21.28	13.97	0.4	0.3	0.4	2.246821335220599	2.72611413153586	2.6496325463284776	1.0	1.0
T89	21.17	0.0	0.4	0.0	0.4	-0.9551698052567644	-1.464060397114655	-1.4143000553213299	1.0	1.0
T90	21.15	17.24	0.4	0.05	0.4	0.8897354976873293	0.7498376907713991	0.3408884425705354	0.0	0.0
T91	21.13	13.4	0.4	0.3	0.4	-0.6692305180379419	-0.5333502448959496	-0.5118097861164982	1.0	1.0
T92	21.12	13.51	0.4	0.3	0.4	2.1704976119850055	2.9776324930425107	3.084758106571416	0.0	0.0
T93	21.12	12.63	0.4	0.3	0.4	-0.29913095193086875	-0.9631062714384444	-0.8300380104515074	1.0	1.0
T94	21.11	13.7	0.4	0.3	0.4	1.6035910035040493	2.0845963071167004	1.8209004248362244	1.0	1.0
T96	21.06	12.94	0.4	0.3	0.4	-0.6561620329954714	-0.4602321909816616	-0.09125288593027546	1.0	1.0
T97	21.05	12.21	0.4	0.3	0.4	-0.5081235816140022	-0.9239371389143065	-0.5520219835668823	1.0	1.0
T98	21.04	13.66	0.4	0.3	0.4	-0.4926868767389477	0.024427391498149265	-0.20553673699825248	1.0	1.0
T99	21.01	14.04	0.4	0.3	0.4	0.09053729662269389	0.11369256121893401	0.49979216769466217	1.0	1.0
T100	21.01	16.27	0.4	0.05	0.4	0.31487407780064774	-0.47353366584779727	-0.9146015326871269	0.0	1.0
T102	20.96	11.16	0.4	0.3	0.4	-0.5428453659617982	-0.7284637328248653	-0.2712488454914659	1.0	1.0
T103	20.84	16.32	0.4	0.05	0.4	1.4638453580646593	2.032758158488501	2.092440431425206	1.0	1.0
T104	20.84	0.68	0.4	0.01	0.4	0.7405430858063325	0.12223943068085241	0.9694526998398549	0.0	0.0
T105	20.83	14.13	0.4	0.3	0.4	1.4700064177614967	1.9090696381860397	2.156286921302768	1.0	1.0
T106	20.82	11.82	0.4	0.3	0.4	-0.27975446267263804	-0.6594837760774579	-0.9525311757219329	1.0	1.0
T107	20.8	13.48	0.4	0.3	0.4	0.3053466272991147	0.094436425104346	0.5601278781238138	0.0	0.0
T108	20.76	14.29	0.4	0.3	0.4	-0.0015326449824451666	0.08166640973688774	0.17437518887738232	1.0	1.0
T109	20.71	13.37	0.4	0.3	0.4	0.5755098831822881	0.6794266628471941	0.08051220702643427	0.0	0.0
T110	20.69	14.09	0.4	0.3	0.4	-0.7492594190809695	-0.5371184772039427	-0.29211216113511	0.0	1.0
T111	20.69	10.44	0.4	0.3	0.4	0.021598872146476857	0.7595007255005111	0.3657890254747999	1.0	1.0
T112	20.67	6.62	0.4	0.01	0.4	1.262150698157143	1.7237005772314147	1.6995040857669823	0.0	0.0
T113	20.63	10.69	0.4	0.3	0.4	0.8070047597887983	0.7054274159348424	1.3019353913741254	1.0	1.0
T114	20.54	11.82	0.4	0.3	0.4	0.09306952772369476	-0.4703215799980521	-0.49923214656204445	1.0	1.0
T115	20.52	16.55	0.4	0.05	0.4	1.3172595971180732	1.7288908819841655	1.7786352083011376	0.0	0.0
T116	20.51	16.06	0.4	0.05	0.4	-0.6967002051350262	-0.3941124525652172	-0.20859631333855017	1.0	1.0
T117	20.49	17.14	0.4	0.05	0.4	0.7647584185493609	1.0859673488317918	1.2230363691471755	0.0	1.0
T118	20.48	9.96	0.4	0.01	0.4	0.6369773044639138	0.32782323222314774	0.14327512036882178	1.0	1.0
T119	20.4	0.0	0.4	0.0	0.4	-0.7734596195543927	-1.3609079936382562	-1.7026651146294702	1.0	1.0
T120	20.39	14.39	0.4	0.3	0.4	-1.3344348688461516	-0.6891933971414936	-0.9216981740481969	0.0	0.0
T121	20.33	13.96	0.4	0.3	0.4	0.5963555372892434	0.23422331066553753	-0.21611682951693462	0.0	0.0
