	PFT	tooth_type	transversal_lophs	hypsodonty_categorical	body_size_cat	acute_lophs	obtuse_lophs	occlusal_topography	horizodonty_Probosc	enamel_folding_or_ptychodonty	skull_shape	upper.tusks	lower.tusks	mandible	mandibular.symphysis	pattern.of.mastication_POM	teeth.replacement	foot.posture
Sinomastodon_praeintermedius	4	zygo	3	bra	5	1	0	0	3	0		up_tsk_nearly_straight	low_tsk_absent	mandb_short_noTusks	symph_reduced	POM_gomph	P4 absent	subunguligrade
Zygolophodon_aegyptensis	4	zygo	3	bra	4	1	0	0	3	0	skull_non_bathyceph_flat	up_tsk_down_curved		mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
Zygolophodon_chinjiensis	4	zygo	3	bra	5	1	0	0	3	0	skull_non_bathyceph_flat	up_tsk_down_curved		mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
Zygolophodon_turicensis	4	zygo	3	bra	6	1	0	0	3	0	skull_non_bathyceph_flat	up_tsk_down_curved	low_tsk_conical	mandb_short_noTusks	symph_reduced	POM_mammuth	P4 absent	subunguligrade
Amebelodon_floridanus	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Amebelodon_fricki	5	blm	0	bra	6	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Eubelodon_morrilli	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Gnathabelodon_buckneri	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_gentle_up-curve	low_tsk_absent	mandb_long_straight	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Gnathabelodon_thorpei	5	blm	0	bra	6	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_gentle_up-curve	low_tsk_absent	mandb_long_straight	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Gomphotherium_productum	5	blm	0	bra	4	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Konobelodon_atticus	5	blm	0	bra	5	0	1	0	4	0	skull_non_bathyceph_domed	up_tsk_nearly_straight	low_tsk_flat_shovel	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Konobelodon_britti	5	blm	0	bra	6	0	1	0	4	0	skull_non_bathyceph_flat	up_tsk_nearly_straight	low_tsk_flat_shovel	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Konobelodon_cyrenaicus	5	blm	0	bra	6	0	1	0	3	0			low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Konobelodon_robustus	5	blm	0	bra	5	0	1	0	4	0		up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Megabelodon_joraki	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Megabelodon_lulli	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Megabelodon_minor	5	blm	0	bra	4	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_straight	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Paratetralophodon_hasnotensis	5	bun	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Pediolophodon_campester	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Platybelodon_dangheensis	5	bun	0	bra	3	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Platybelodon_danovi	5	bun	0	bra	3	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Platybelodon_grangeri	5	bun	0	bra	3	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Platybelodon_tongxinensis	5	bun	0	bra	3	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Protanancus_brevirostris	5	bun	0	bra	4	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
