feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
NMDS1,Temperature,none,none,0.645,0.46852411064275373,0.0024189280506213395,1.484592633340844,0.0945322631591575,0.03244048638207293,0.15545713284063362,-29.20699601663073,-76.94862293182877,10.453805094907125,17.0
NMDS1,Humans,none,0.0_1.0,0.91,0.42580389407694275,0.05909076106633191,1.2013486924873804,0.15353804841116916,0.053195223538602544,0.2826908644787664,-29.231218998891375,-86.42814112647261,17.017355965797435,2.0
NMDS1,Humans,none,0.0_2.0,0.754,0.8718253073464337,0.36778610284063545,1.4164471677955612,0.15353804841116916,0.053195223538602544,0.2826908644787664,-29.231218998891375,-86.42814112647261,17.017355965797435,2.0
NMDS1,Humans,none,1.0_2.0,0.689,0.8521706311984556,0.16231095900754897,1.7455099650505428,0.15353804841116916,0.053195223538602544,0.2826908644787664,-29.231218998891375,-86.42814112647261,17.017355965797435,2.0
NMDS1,PVR1,none,none,0.691,0.5604791080119288,0.009313876015857162,1.3631405876912455,0.1267687571820034,0.047829446248473614,0.23614334291587388,-68.65990832484879,-192.13138929257605,20.84730864126334,6.0
NMDS1,PVR2,none,none,0.277,1.0514057750841408,0.010047645687179953,3.138103625639442,0.08471205159447653,0.028060784933217703,0.15513011846958427,-50.908854862544665,-163.8472904159047,35.25518412967864,20.0
NMDS1,time,none,none,0.651,0.5860895505786083,0.022221434436059423,1.5177612695313556,0.06249000476120776,0.014180251300216752,0.129326008756497,-45.23193996381187,-116.19490150862512,6.856043127124451,23.0
NMDS2,Geography,none,Africa_America,0.744,3.6066573219242803,0.00942355060738964,59.453883826205924,0.12254780358298238,0.06018232314549801,0.18904315061774574,-58.80031860822797,-176.23073704279352,38.09859007752482,9.0
NMDS2,Geography,none,Africa_Eurasia,0.782,4.079124975177787,0.003647301701317668,69.89021186504755,0.12254780358298238,0.06018232314549801,0.18904315061774574,-58.80031860822797,-176.23073704279352,38.09859007752482,9.0
NMDS2,Geography,none,Africa_Island,0.724,0.4225835047684649,0.0009056860918773617,4.599535219264049,0.12254780358298238,0.06018232314549801,0.18904315061774574,-58.80031860822797,-176.23073704279352,38.09859007752482,9.0
NMDS2,Geography,none,America_Eurasia,0.581,1.2898355817556302,0.0025329158342751678,13.162569596878498,0.12254780358298238,0.06018232314549801,0.18904315061774574,-58.80031860822797,-176.23073704279352,38.09859007752482,9.0
