sp	hmin	hmax
T8	18.988288703520016	18.988288703520016
T8	14.449665866104736	14.449665866104736
T8	15.89473042855507	15.89473042855507
T8	14.316651927402788	14.316651927402788
T8	14.448047084531408	14.448047084531408
T9	26.205386282334054	26.205386282334054
T9	25.926702702757243	25.926702702757243
T9	22.68776537621444	22.68776537621444
T9	21.1662825644493	21.1662825644493
T9	20.617533512932102	20.617533512932102
T9	23.01244279300964	23.01244279300964
T9	21.601069385772067	21.601069385772067
T9	22.536716116763042	22.536716116763042
T9	22.32047366943195	22.32047366943195
T9	22.33500536539456	22.33500536539456
T9	20.972492541094855	20.972492541094855
T9	20.996296691126382	20.996296691126382
T9	21.82807640728221	21.82807640728221
T9	22.69372583070436	22.69372583070436
T9	22.00138097028443	22.00138097028443
T9	22.44832301992916	22.44832301992916
T9	19.495033062457768	19.495033062457768
T9	16.924104974504765	16.924104974504765
T9	17.675410919435954	17.675410919435954
T9	19.8468551566242	19.8468551566242
T9	19.7849274146502	19.7849274146502
T9	16.20214700001093	16.20214700001093
T9	20.236021781417236	20.236021781417236
T9	16.752896728999307	16.752896728999307
T9	17.038860139112074	17.038860139112074
T9	17.58272799364586	17.58272799364586
T9	18.030966012545555	18.030966012545555
T9	17.155762275522914	17.155762275522914
T9	19.255880856435123	19.255880856435123
T9	17.915522180884082	17.915522180884082
T9	18.37680013663231	18.37680013663231
T9	16.8217440988945	16.8217440988945
T9	18.861502271724017	18.861502271724017
T9	18.862861774311185	18.862861774311185
T9	16.94930807841688	16.94930807841688
T9	16.40136637898701	16.40136637898701
T9	17.983509178697624	17.983509178697624
T9	19.480336856797532	19.480336856797532
T9	16.710251793458625	16.710251793458625
T9	20.282113006615006	20.282113006615006
T9	17.282214859926054	17.282214859926054
T9	16.13383514973704	16.13383514973704
T9	19.858763542976547	19.858763542976547
T9	16.21362969765298	16.21362969765298
T9	17.149176536871305	17.149176536871305
T9	17.580709689163854	17.580709689163854
T9	18.149849418556983	18.149849418556983
T9	17.371430692512675	17.371430692512675
T9	16.055269760729182	16.055269760729182
T9	15.936701401730916	15.936701401730916
T9	14.87329698664368	14.87329698664368
T9	14.416563618766832	14.416563618766832
T9	15.755873490166515	15.755873490166515
T9	12.479355306661526	12.479355306661526
T9	12.547847109562642	12.547847109562642
T9	13.644112230366076	13.644112230366076
T10	26.303662925238882	26.303662925238882
T12	24.09459016184008	24.09459016184008
T12	24.058614893720236	24.058614893720236
T12	26.36870911408042	26.36870911408042
T12	23.479428340863343	23.479428340863343
T12	23.552179218378335	23.552179218378335
T12	21.953878701393506	21.953878701393506
T12	21.047793795011852	21.047793795011852
T12	22.4222612803759	22.4222612803759
T12	20.99118016661811	20.99118016661811
T12	20.8485045171245	20.8485045171245
T12	21.20078689464197	21.20078689464197
T12	20.58741682697154	20.58741682697154
T12	21.431397654393855	21.431397654393855
T12	21.538066226604865	21.538066226604865
T12	17.276303811361743	17.276303811361743
T12	16.1517514925253	16.1517514925253
T12	19.561048317701122	19.561048317701122
T12	18.32619535629774	18.32619535629774
T12	17.628934940995467	17.628934940995467
T12	16.57321082454904	16.57321082454904
T12	20.182214870497347	20.182214870497347
T12	18.088933839517498	18.088933839517498
T12	16.700996110098124	16.700996110098124
T12	19.896213266935785	19.896213266935785
T12	18.127521477141947	18.127521477141947
T12	19.135819917195	19.135819917195
T12	16.79378349528331	16.79378349528331
T12	20.228321222699133	20.228321222699133
T12	20.132495010910915	20.132495010910915
T12	17.655378035538885	17.655378035538885
T12	16.12090577955771	16.12090577955771
T12	17.717744882417662	17.717744882417662
T12	15.793050123315211	15.793050123315211
T12	15.410943535344268	15.410943535344268
T12	13.86757227453371	13.86757227453371
T12	15.034859861350714	15.034859861350714
T12	14.65326694521712	14.65326694521712
T12	15.633390021254986	15.633390021254986
T12	15.176535748913812	15.176535748913812
T12	14.020078488042762	14.020078488042762
T12	15.763460172318734	15.763460172318734
T12	15.745801711593346	15.745801711593346
T12	13.65989470556239	13.65989470556239
T12	13.728039799349014	13.728039799349014
T13	23.07368118479477	23.07368118479477
T13	24.978373122087103	24.978373122087103
T13	25.992589455308206	25.992589455308206
T13	24.509664936135156	24.509664936135156
T13	21.09723646292651	21.09723646292651
T13	22.39698485296311	22.39698485296311
T13	21.874229180548266	21.874229180548266
T13	22.58645027492217	22.58645027492217
T13	21.329330660742837	21.329330660742837
T13	21.729256700741864	21.729256700741864
T13	20.452369202176563	20.452369202176563
T13	22.516121555020938	22.516121555020938
T13	21.60125737806554	21.60125737806554
T13	21.945767152072523	21.945767152072523
T13	22.581677971027514	22.581677971027514
T13	20.983451421703577	20.983451421703577
T13	20.534694365193992	20.534694365193992
T13	20.718324547768756	20.718324547768756
T13	22.955660656694562	22.955660656694562
T13	20.717702042815272	20.717702042815272
T13	22.909711219093573	22.909711219093573
T13	20.895837728416723	20.895837728416723
T13	16.84903711016307	16.84903711016307
T13	16.7215551900757	16.7215551900757
T13	19.71544642925977	19.71544642925977
T13	18.197478170308354	18.197478170308354
T13	17.92819566767661	17.92819566767661
T13	20.280655481064365	20.280655481064365
T13	18.455217647557834	18.455217647557834
T13	18.615435263378938	18.615435263378938
T13	19.894698041169363	19.894698041169363
T13	20.224632835519103	20.224632835519103
T13	17.64348721884457	17.64348721884457
T13	20.13294696003293	20.13294696003293
T13	20.08221331029339	20.08221331029339
T13	19.47355729223543	19.47355729223543
T13	17.978834401061558	17.978834401061558
T13	16.028446627591727	16.028446627591727
T13	19.799418205318478	19.799418205318478
T13	16.13000644732935	16.13000644732935
T13	16.086980236181354	16.086980236181354
T13	16.912827119729815	16.912827119729815
T13	18.74186397408631	18.74186397408631
T13	14.650102799761507	14.650102799761507
T13	15.5354935634195	15.5354935634195
T13	15.734733197825186	15.734733197825186
T13	15.137472923450401	15.137472923450401
T13	14.96499530597308	14.96499530597308
T13	15.887461684350571	15.887461684350571
T13	13.94218405165987	13.94218405165987
T13	14.134898446286892	14.134898446286892
T13	15.91778501081265	15.91778501081265
T14	23.726628657668336	23.726628657668336
T14	24.466821857614978	24.466821857614978
T14	22.529904782832386	22.529904782832386
T14	22.028105961763625	22.028105961763625
T14	22.880329510313384	22.880329510313384
T14	21.83489944597373	21.83489944597373
T14	22.557293578875107	22.557293578875107
T14	17.945238513587498	17.945238513587498
T14	16.918199033897956	16.918199033897956
