cont_trait_0,mean,lwr,upr
-0.19140741188472163,0.2977859580097614,0.15580519177530272,0.41544784972403026
-0.15102342539154168,0.3098078843749519,0.15914012203159034,0.43852203346127605
-0.11063943889836193,0.32234813207483815,0.17171772633986446,0.4734746985580113
-0.07025545240518219,0.33494715210448817,0.17819534667958273,0.4871048585982144
-0.02987146591200243,0.34709504837716154,0.18586878975378873,0.5098253111132589
0.010512520581177319,0.3581930087755899,0.20387034362550413,0.5377843157133778
0.05089650707435707,0.3677022620757415,0.21800816615296728,0.5578162156283716
0.09128049356753681,0.3753342428419406,0.22464481180686516,0.5761109009174813
0.13166448006071657,0.3810032952310083,0.23084872768157008,0.59310400386033
0.17204846655389633,0.38473728890349745,0.20881364601912417,0.5695366284449951
0.21243245304707645,0.38658973474849867,0.21773569610931484,0.58063552501869
0.25281643954025623,0.38664428284529734,0.21976408370681927,0.5809182873749134
0.293200426033436,0.3850462723695517,0.2298870195713744,0.5866830020648787
0.33358441252661575,0.38197905619139905,0.21742233046445392,0.5581841796668887
0.3739683990197955,0.3776719460016957,0.2240769706903296,0.5496880149027594
0.4143523855129752,0.37237278929933365,0.2312824320842114,0.5386847837678436
0.45473637200615497,0.36631163826629526,0.23090600634973335,0.5185177796565786
0.4951203584993351,0.35969112292367844,0.23055402377587716,0.505764449428528
0.5355043449925149,0.35266806377947874,0.23240837305542378,0.49247518533007484
0.5758883314856945,0.3453491783322238,0.23213120616128521,0.4748453504012523
0.6162723179788743,0.33779945514874826,0.22636799860027312,0.45435413087669035
0.656656304472054,0.3300598500602946,0.22919052543605972,0.4484630080729444
0.6970402909652338,0.3221798422337138,0.22769080514894133,0.43583193252202446
0.7374242774584135,0.3142208256705338,0.22051444876257617,0.42067320118189866
0.7778082639515933,0.3062388163165089,0.21674383426891164,0.4108438127003162
0.8181922504447731,0.29828150264133685,0.19647041278585375,0.3826112492887326
0.8585762369379533,0.29039452205887273,0.19290545563595526,0.3767788321049589
0.8989602234311329,0.2826257954851879,0.1921376963738111,0.371829768632033
0.9393442099243127,0.2750198259634326,0.18257676555675195,0.3599046514044499
0.9797281964174924,0.2676118734367972,0.17403887313444064,0.34838995068724016
1.0201121829106723,0.26042653816827216,0.17782431497366308,0.34897481986741613
1.0604961694038522,0.2534798487403122,0.17625745849255164,0.34357352691793586
1.1008801558970318,0.24678232220809235,0.1631281552152519,0.3301264866666959
1.141264142390212,0.24033990386234189,0.1514201447120054,0.3177325060652921
1.1816481288833918,0.23415428075163255,0.14528647093774189,0.3107904770738227
1.2220321153765714,0.22822341736009621,0.14564349102924848,0.30811696906543645
1.2624161018697513,0.2225430017293338,0.14050948643365851,0.30237029847393077
1.302800088362931,0.21710787311187976,0.1375259207358502,0.30035334873774294
1.3431840748561108,0.21191286070903037,0.13130776597865768,0.29469007816503684
1.3835680613492904,0.2069530689899259,0.12415785690411972,0.28865906247854806
1.4239520478424703,0.20222364310370516,0.11647823119232249,0.2807884971180703
1.46433603433565,0.1977195105622026,0.11218305350737019,0.278744883926373
1.50472002082883,0.19343511433212068,0.10539479721217852,0.2722085595209656
1.54510400732201,0.18936427372471193,0.10165186399971653,0.2725750839926355
1.5854879938151896,0.18550059535321747,0.10032621803270135,0.2710859716012767
1.6258719803083697,0.18183755800526566,0.09310897461631788,0.2628423769663734
1.666255966801549,0.1783678070375772,0.0909442241727346,0.26053899144749476
1.7066399532947292,0.1750830190556433,0.0875361393121038,0.25813528164293126
1.7470239397879086,0.17197477267715003,0.08455220925601764,0.25602502903729113
1.7874079262810887,0.1690349168953279,0.08525549213872745,0.2576908585177089
1.8277919127742681,0.1662551325801556,0.08212356759672766,0.2545838257729473
1.8681758992674482,0.1636268556652991,0.08128532566090672,0.2522914384273666
1.9085598857606276,0.16114170011119291,0.07859257152039184,0.24859959703399756
1.9489438722538077,0.15879170425113268,0.07681317639489028,0.247699644892316
1.9893278587469878,0.15656932062746873,0.07413117223363695,0.2467303890835185
2.0297118452401675,0.15446732126965218,0.07098087444558021,0.2447441025903653
2.0700958317333473,0.15247870760020438,0.0711700572923459,0.24565581168672135
