Species	NMDS1	NMDS2	PVR1	PVR2	Africa	America	Eurasia	Island
Gomphotherium_productum	-0.100356671834941	-1.33411877387726	0.370274756039918	0.0452855341992775	0	1	0	0
Gomphotherium_steinheimense	-0.350217659449109	-1.10061656866568	0.432537292588769	0.0407095876428202	0	0	1	0
Gomphotherium_subtapiroideum	-0.444332803618098	-1.11884892485171	0.303331771941736	0.0488705754673759	0	0	1	0
Gomphotherium_sylvaticum	-0.399408460837228	-0.839437818975207	0.251897849042374	0.0511373719082407	0	0	1	0
Gomphotherium_tassyi	-0.404282214879937	-1.05941177694698	0.305146698266192	0.0495832380041913	0	0	1	0
Gomphotherium_wimani	-0.370101165135938	-0.851733865646352	0.306410110398156	0.0488858485709039	0	0	1	0
Hemimastodon_crepusculi	-0.223422809527815	-0.396749683668074	-0.931019852960853	0.717930036390247	0	0	1	0
Konobelodon_atticus	0.151002162174363	-1.42219607157858	-1.06693548594178	1.0593032721987	0	0	1	0
Konobelodon_britti	0.170683466246357	-1.44908740346427	-1.06392915716056	1.05198586404424	0	1	0	0
Konobelodon_cyrenaicus	0.300060328236166	-1.36857456152947	-1.07023157560428	1.06725264278866	1	0	0	0
Konobelodon_robustus	0.0980591364424912	-1.19886651941199	-1.06061876296179	1.04407155838798	0	0	1	0
Losodokodon_losodokius	-2.20167075377711	0.483958968833103	-0.947541749359851	0.754280910712935	1	0	0	0
Loxodonta_adaurora	1.04878505394002	0.863758290508446	1.27055683374665	-0.0838041091486339	1	0	0	0
Loxodonta_africana	1.08299254011512	0.669883789413162	1.32363693400117	-0.0929280704726732	1	0	0	0
Loxodonta_atlantica	1.27222745085973	0.587721096377361	1.3178636149289	-0.0919482191199557	1	0	0	0
Loxodonta_cookei	0.925248582959033	0.636195851535037	1.27128796727746	-0.0839412232466073	1	0	0	0
Loxodonta_cyclotis	1.08299254011512	0.669883789413162	1.32363693400117	-0.0929280704726734	1	0	0	0
Loxodonta_exoptata	1.02839671264375	0.73507046434162	1.29786724269274	-0.0885097958929943	1	0	0	0
Mammut_americanum	-0.239250630511692	1.69602367332516	-1.07987499358033	1.05773809601552	0	1	0	0
Mammut_borsoni	-0.539360890058233	1.80141832356426	-1.07495789301925	1.04609763388719	1	0	1	0
Mammut_obliquelophus	-0.96188790502483	1.54173471109299	-1.07507852754606	1.04638133495801	1	0	1	0
Mammuthus_africanavus	1.12192988625783	0.556943356837852	1.2867139256535	-0.0863088013966721	1	0	0	0
Mammuthus_columbi	1.30539697666393	0.821895143121385	1.32846372435217	-0.0933761759879656	0	1	0	0
Mammuthus_creticus	1.13783525334634	0.966247957669062	1.32166959194265	-0.092206398556539	0	0	0	1
Mammuthus_exilis	1.21401142690682	0.947028098839172	1.32893242494256	-0.0934558263661262	0	0	0	1
Mammuthus_gromovi	1.17218857430516	0.721349911109801	1.31291425473329	-0.0907292421846156	0	0	1	0
Mammuthus_lamarmorai	1.20089888930885	0.872512673167317	1.32236920430656	-0.0923244414604923	0	0	0	1
Mammuthus_meridionalis	1.28699654356522	0.794307984511626	1.31458816623468	-0.0910114549102845	1	1	1	0
Mammuthus_primigenius	1.20912952757134	0.674248570396191	1.32966046411385	-0.0935804458055769	0	1	1	0
Mammuthus_protomammonteus	1.18450236810203	0.587199497869649	1.32938338442727	-0.0935333299194022	0	0	1	0
Mammuthus_rumanus	1.12951613361097	0.607002383911984	1.31257260523319	-0.0906710068184722	0	0	1	0
Mammuthus_subplanifrons	0.945999231421686	0.532412806128064	1.28234787626767	-0.0855723315304942	1	0	0	0
Mammuthus_trogontherii	1.30539697666393	0.821895143121385	1.329362084094	-0.093529711192219	0	0	1	0
Megabelodon_joraki	-0.0396905546967406	-1.27754260390367	-1.00006139675745	-1.91342682661812	0	1	0	0
Megabelodon_lulli	-0.0396905546967406	-1.27754260390367	-1.00504878046958	-1.93670853402234	0	1	0	0
Megabelodon_minor	-0.100356671834941	-1.33411877387726	-1.00709891677825	-1.94628083253375	0	1	0	0
Miomastodon_gobiensis	-0.64275858523332	1.43198601115371	-1.03631579025941	0.954916488914728	0	0	1	0
Miomastodon_metachinjiensis	-0.452822722860624	1.41345946393699	-1.03684817045553	0.956104307027461	0	0	1	0
Miomastodon_proavus	-0.452822722860624	1.41345946393699	-1.0380964250514	0.958890895582567	0	1	1	0
Moeritherium_andrewsi	-2.11487309386108	-0.391416894911771	-0.948315550832251	0.731108474344514	1	0	0	0
Moeritherium_chehbeurameuri	-2.11487309386108	-0.391416894911771	-0.940456111882805	0.716467178667241	1	0	0	0
Moeritherium_lyonsi	-2.11487309386108	-0.391416894911771	-0.942279960252923	0.719863785625631	1	0	0	0
Moeritherium_trigodon	-2.03095105017118	-0.318131194873546	-0.941029460711975	0.717523825061265	1	0	0	0
Numidotherium_savagei	-2.39453275452371	1.54527619317039	-0.94273424185612	0.720747562042995	1	0	0	0
Omanitherium_dhofarensis	-2.58450581371261	1.43379047467902	-0.953058232925245	0.740193160341664	1	0	0	0
Palaeoloxodon_antiquus	1.42643254115916	0.755016500591651	1.35289000357033	-0.0981139104440239	0	0	1	0
Palaeoloxodon_creutzburgi	1.10694786145604	0.531745382584057	1.35295463217745	-0.0981251274710049	0	0	0	1
Palaeoloxodon_cypriotes	1.17778725653356	1.07580209066219	1.35126139194876	-0.0978280089525157	0	0	0	1
Palaeoloxodon_falconeri	1.25096881371257	1.00106896117298	1.35115322385584	-0.0978091216200121	0	0	0	1
Palaeoloxodon_jolensis	1.4264325411591	0.755016500591618	1.320923882095	-0.0924689043075258	1	0	0	0
Palaeoloxodon_lomolinoi	1.12938793782752	0.803549572015277	1.35306324780263	-0.0981442050670344	0	0	0	1
Palaeoloxodon_mnaidriensis	1.20535391880801	0.779527740164358	1.35371454127696	-0.0982585022990696	0	0	0	1
Palaeoloxodon_namadicus	1.42643254115915	0.755016500591647	1.3415392128287	-0.0961227920490279	0	0	1	0
Palaeoloxodon_naumanni	1.37285055676594	0.648309788828526	1.33337289183054	-0.0946833734783782	0	0	1	0
Palaeoloxodon_recki	1.42643254121173	0.755016500620209	1.31897601763274	-0.0921394789246455	1	0	0	0
Palaeoloxodon_tiliensis	1.02656866378845	0.773109487997718	1.35247565562093	-0.0980407332398114	0	0	0	1
Palaeomastodon_beadnelli	-1.43887051413826	-0.825341287886961	-0.894276282421944	0.630747475688246	1	0	0	0
Paratetralophodon_exoletus	-0.271570012928229	-1.12023492382837	0.851130331122924	-0.0138623300229772	0	0	1	0
Paratetralophodon_hasnotensis	-0.261534417821888	-1.26369296261025	0.853569773357535	-0.0139589422811947	0	0	1	0
Pediolophodon_campester	0.00782404247883269	-1.35262480520825	0.371358739202478	0.0456074333670572	0	1	0	0
Phiomia_major	-1.43887051413826	-0.825341287886961	-0.89345651048498	0.624207596556069	1	0	0	0
Phiomia_serridens	-1.43887051413827	-0.825341287886963	-0.887995045693363	0.614976835163654	1	0	0	0
Platelephas_platycephalus	0.944778975027732	-0.299854252259367	1.26927048369528	-0.0833566072352823	0	0	1	0
Platybelodon_dangheensis	-0.330346187668827	-1.46225544260505	-0.999159085655197	0.897121770238755	0	0	1	0
Platybelodon_danovi	-0.330346187668827	-1.46225544260505	-1.00332784449895	0.906229626316804	0	0	1	0
Platybelodon_grangeri	-0.330346187668827	-1.46225544260505	-1.00702131468637	0.914373459494789	0	0	1	0
Platybelodon_tongxinensis	-0.330346187668827	-1.46225544260505	-1.00768436243375	0.915831893857571	0	0	1	0
Primelephas_korotorensis	0.892148798427036	0.574403550907141	1.1819545814637	-0.0687968063839877	1	0	0	0
Prodeinotherium_bavaricum	-1.94339585412745	1.14912017838805	-1.03942066338565	0.969523186603693	0	0	1	0
Prodeinotherium_hobleyi	-1.9433958541274	1.14912017838802	-1.03337516431565	0.955907052955215	1	0	0	0
Prodeinotherium_pentapotamiae	-1.94339585412738	1.14912017838801	-1.03726958197531	0.964669776173234	0	0	1	0
Progomphotherium_maraisi	-0.298141242446881	-0.544071998628314	-0.957101935325854	0.802247139000443	1	0	0	0
Protanancus_brevirostris	-0.307814608648706	-1.37287531267069	-1.02045291256949	0.947928666099259	0	0	1	0
Protanancus_chinjiensis	-0.242622660617342	-1.35519082716484	-1.03400440931253	0.980454112330911	0	0	1	0
Protanancus_macinnesi	-0.242622660617342	-1.35519082716484	-1.03309240712097	0.977955663673591	1	0	0	0
Protanancus_tobieni	-0.242622660617342	-1.35519082716484	-1.03380491979713	0.979586714285195	0	0	1	0
Rhynchotherium_falconeri	-0.0256151895693261	-1.46318553656085	-1.12882784494518	-2.65198378119311	0	1	0	0
Rhynchotherium_tlascalae	0.00782404247883269	-1.35262480520825	-1.1200626218874	-2.60217003387749	0	1	0	0
Serbelodon_barbourensis	0.142035802312936	-1.56118648538441	-0.982804777671254	0.858984044049333	0	1	0	0
Sinomammut_tobieni	0.121922736553118	0.309083250195692	-1.02234225796065	0.92153362559299	0	0	1	0
Sinomastodon_bumiajuensis	0.0666798982682849	-0.184415859422627	-1.14367264337594	-2.73906274367583	0	0	1	0
Sinomastodon_huananensis	-0.259337277918984	0.359433558906997	-1.12660910063803	-2.63928806992803	0	0	1	0
Sinomastodon_intermedius	-0.0613708780116003	0.0761512925137987	-1.1289353701392	-2.65225946439761	0	0	1	0
Sinomastodon_jiangnanensis	0.203607469733747	-0.110935432744233	-1.14674929330302	-2.7569914264268	0	0	1	0
Sinomastodon_praeintermedius	-0.189096596868158	0.862855576252312	-1.11582709976062	-2.57704123572283	0	0	1	0
Sinomastodon_sendaicus	-0.0122892941850751	0.0846158961735526	-1.1280660090742	-2.64731874482338	0	0	1	0
Sinomastodon_yangziensis	0.150667251530403	-0.188139912946148	-1.14559099595552	-2.75026111691206	0	0	1	0
Stegodibelodon_schneideri	0.870417481611804	-0.689078861984018	1.19810387910569	-0.0714962760116344	1	0	0	0
Stegodon_aurorae	0.838990872842343	0.657016624459716	0.641464258801864	0.0744294384856013	0	0	1	0
Stegodon_bombifrons	0.769062963503208	0.623536793280301	0.66256022143857	0.0807378509114086	0	0	1	0
Stegodon_elephantoides	0.823608451001982	0.602238937244872	0.662254667246404	0.0806489260905654	0	0	1	0
Stegodon_florensis	0.816099824028656	0.754935378509766	0.668958673052936	0.082660491677275	0	0	0	1
Stegodon_ganesa	0.823608451001982	0.602238937244872	0.662845269128744	0.080825642178933	0	0	1	0
Stegodon_huananensis	0.769062963503208	0.623536793280301	0.663938061167007	0.0811514598233265	0	0	1	0
Stegodon_insignis	0.823608451001982	0.602238937244872	0.662315909812564	0.0806659036267937	0	0	1	0
Stegodon_kaisensis	0.769062963503208	0.623536793280301	0.649730074243068	0.0769464162365566	1	0	0	0
Stegodon_luzonensis	0.69553586390048	0.285167399264128	0.666996340639808	0.0820700511174626	0	0	0	1
Stegodon_orientalis	0.838990872842343	0.657016624459716	0.663969990285824	0.0811608894664658	0	0	1	0
Stegodon_pinjorensis	0.823608451001982	0.602238937244872	0.663388743568357	0.0809864285156301	0	0	1	0
Stegodon_sompoensis	0.777729611500442	0.74725744919401	0.666022777872923	0.0817803569083677	0	0	0	1
Stegodon_sondaari	0.768163030932342	0.831787909509574	0.664268348275489	0.0812445003745923	0	0	0	1
Stegodon_timorensis	0.768163030932342	0.831787909509574	0.669485421846465	0.0828183133321903	0	0	0	1
Stegodon_trigonocephalus	0.823608451001982	0.602238937244872	0.665925034147928	0.0817506526129946	0	0	0	1
Stegodon_zdanskyi	0.862166391042953	0.803240839487321	0.638910424132014	0.0737119679557615	0	0	1	0
Stegolophodon_hueiheensis	0.489231876240483	0.183362677952304	0.505535776469321	0.0347330846283312	0	0	1	0
Stegolophodon_latidens	0.368035773353325	0.388000629381569	0.510969558326176	0.0359519308264555	0	0	1	0
Stegolophodon_lydekkeri	0.526963023945113	0.181350033322817	0.52436493355712	0.0390810658389043	0	0	1	0
Stegolophodon_nasaiensis	0.333689150397327	0.385567434621975	0.506567753519355	0.0348830642989344	0	0	1	0
Stegolophodon_pseudolatidens	0.365048636447312	0.509473327014756	0.515026920218035	0.0373996026341216	0	0	0	1
Stegolophodon_stegodontoides	0.526963023945113	0.181350033322817	0.513621656733471	0.036388323507952	0	0	1	0
Stegoloxodon_celebensis	1.06481987047411	-0.172540284383353	1.24510753115283	-0.079375570888849	0	0	0	1
Stegomastodon_aftoniae	0.658146436555354	-0.316560663252631	-1.14700369190425	-2.75894266042342	0	1	0	0
Stegomastodon_mirificus	0.511160653197914	-0.222480943931952	-1.14553173179778	-2.75037922961111	0	1	0	0
Stegomastodon_platensis	0.582383854885132	-0.338649280135691	-1.14939330451584	-2.77298014431521	0	1	0	0
Stegomastodon_primitivus	0.511160653197914	-0.222480943931952	-1.14312576434537	-2.7364190832048	0	1	0	0
Stegotetrabelodon_orbus	0.387174778229715	-1.50356351576037	1.12537738524854	-0.0593009960837166	1	0	0	0
Stegotetrabelodon_syrticus	0.408443014810719	-1.60753724935785	1.12470857095698	-0.0592155985016661	1	0	1	0
Tetralophodon_euryrostris	0.0699339813603915	-1.5075079588657	0.763601300811359	-0.000182044658826658	0	0	1	0
Tetralophodon_longirostris	-0.297765362128601	-1.11495738502388	0.759852047944795	-0.000179881962172937	1	0	1	0
Tetralophodon_xiaolongtanensis	-0.297765362128601	-1.11495738502388	0.760528574994591	-0.000180274371850397	0	0	1	0
Torynobelodon_barnumbrowni	0.065648961773159	-1.43585469142198	-1.01000855893986	0.92140881634488	0	1	0	0
Torynobelodon_loomisi	0.065648961773159	-1.43585469142198	-1.01649332609274	0.935832901728154	0	1	0	0
Zygolophodon_aegyptensis	-0.572839407131733	1.41246009356279	-1.02320954000157	0.924180391389492	1	0	0	0
Zygolophodon_chinjiensis	-0.535417186758729	1.40960430721439	-1.02907052115686	0.937091398410227	0	0	1	0
Zygolophodon_turicensis	-0.622430561423238	1.57221155396066	-1.02287599003236	0.923435105038463	0	0	1	0
